id,sentiment,positive,negative,neutral
11725,Positive,1,0,0
11726,Neutral,0,0,1
11727,Positive,1,0,0
11728,Neutral,0,0,1
11729,Neutral,0,0,1
11730,Neutral,0,0,1
11731,Neutral,0,0,1
11732,Neutral,0,0,1
11733,Neutral,0,0,1
11734,Neutral,0,0,1
11735,Neutral,0,0,1
11736,Neutral,0,0,1
11737,Negative,0,1,3
11738,Neutral,0,0,1
11739,Neutral,0,0,1
11740,Positive,1,0,1
11741,Negative,0,1,1
11742,Neutral,0,0,1
11743,Neutral,0,0,1
11744,Neutral,0,0,1
11745,Mixed,1,1,2
11746,Neutral,0,0,1
11747,Mixed,1,1,1
11748,Negative,0,1,4
11749,Negative,0,1,1
11750,Negative,0,1,0
11751,Positive,1,0,0
11752,Mixed,1,1,0
11753,Positive,2,0,0
11754,Positive,1,0,2
11755,Negative,0,1,2
11756,Negative,0,1,1
11757,Negative,0,1,0
11758,Positive,1,0,0
11759,Positive,2,0,1
11760,Negative,0,2,1
11761,Positive,1,0,1
11762,Negative,0,1,3
11763,Negative,0,2,1
11764,Neutral,0,0,1
11765,Negative,0,3,0
11766,Negative,0,1,1
11767,Positive,2,0,3
11768,Negative,0,1,2
11769,Mixed,1,1,0
11770,Neutral,0,0,1
11771,Neutral,0,0,1
11772,Neutral,0,0,1
11773,Negative,0,1,0
11774,Positive,1,0,0
11775,Negative,0,1,2
11776,Neutral,0,0,1
11777,Neutral,0,0,1
11778,Neutral,0,0,1
11779,Neutral,0,0,1
11780,Mixed,1,1,2
11781,Positive,1,0,0
11782,Neutral,0,0,1
11783,Neutral,0,0,1
11784,Negative,0,2,0
11785,Negative,0,2,0
11786,Negative,0,1,1
11787,Neutral,0,0,4
11788,Positive,2,0,0
11789,Positive,1,0,0
11790,Positive,1,0,0
11791,Neutral,0,0,2
11792,Negative,0,2,5
11793,Negative,0,1,0
11794,Negative,0,1,1
11795,Negative,0,2,4
11796,Mixed,1,1,2
11797,Neutral,0,0,1
11798,Negative,0,1,0
11799,Neutral,0,0,1
11800,Neutral,0,0,1
11801,Positive,1,0,1
11802,Negative,0,1,0
11803,Neutral,0,0,1
11804,Neutral,0,0,1
11805,Positive,1,0,0
11806,Neutral,0,0,1
11807,Positive,1,0,0
11808,Positive,2,0,0
11809,Neutral,0,0,1
11810,Neutral,0,0,1
11811,Neutral,0,0,1
11812,Negative,0,1,0
11813,Positive,1,0,0
11814,Negative,0,1,1
11815,Negative,0,1,0
11816,Neutral,0,0,1
11817,Neutral,0,0,1
11818,Positive,2,0,1
11819,Neutral,0,0,1
11820,Neutral,0,0,1
11821,Negative,0,2,0
11822,Neutral,0,0,1
11823,Positive,2,0,1
11824,Positive,1,0,0
11825,Neutral,0,0,3
11826,Mixed,1,1,2
11827,Neutral,0,0,1
11828,Negative,0,1,0
11829,Positive,1,0,2
11830,Negative,0,1,0
11831,Negative,0,1,0
11832,Mixed,2,1,1
11833,Mixed,1,1,1
11834,Neutral,0,0,6
11835,Neutral,0,0,3
11836,Neutral,0,0,1
11837,Mixed,1,3,0
11838,Negative,0,1,1
11839,Positive,1,0,4
11840,Negative,0,1,0
11841,Mixed,1,2,2
11842,Negative,0,1,0
11843,Mixed,1,1,0
11844,Neutral,0,0,2
11845,Positive,1,0,2
11846,Neutral,0,0,1
11847,Neutral,0,0,2
11848,Positive,1,0,0
11849,Negative,0,1,1
11850,Neutral,0,0,1
11851,Neutral,0,0,2
11852,Mixed,1,2,2
11853,Positive,1,0,1
11854,Neutral,0,0,1
11855,Negative,0,1,3
11856,Neutral,0,0,6
11857,Negative,0,1,3
11858,Negative,0,1,1
11859,Negative,0,1,1
11860,Positive,1,0,0
11861,Neutral,0,0,1
11862,Negative,0,1,0
11863,Neutral,0,0,1
11864,Negative,0,1,0
11865,Mixed,1,1,0
11866,Positive,1,0,1
11867,Negative,0,1,2
11868,Mixed,1,1,0
11869,Neutral,0,0,1
11870,Neutral,0,0,2
11871,Negative,0,1,0
11872,Neutral,0,0,1
11873,Negative,0,1,0
11874,Neutral,0,0,1
11875,Negative,0,1,2
11876,Negative,0,2,0
11877,Positive,1,0,1
11878,Neutral,0,0,1
11879,Positive,1,0,1
11880,Negative,0,1,3
11881,Neutral,0,0,1
11882,Neutral,0,0,2
11883,Neutral,0,0,1
11884,Negative,0,1,0
11885,Mixed,1,1,0
11886,Neutral,0,0,1
11887,Negative,0,1,2
11888,Positive,1,0,2
11889,Positive,1,0,0
11890,Neutral,0,0,2
11891,Negative,0,1,0
11892,Positive,1,0,1
11893,Negative,0,1,0
11894,Neutral,0,0,1
11895,Positive,1,0,0
11896,Positive,1,0,0
11897,Neutral,0,0,2
11898,Mixed,1,1,1
11899,Positive,1,0,0
11900,Positive,1,0,0
11901,Positive,1,0,0
11902,Negative,0,1,6
11903,Neutral,0,0,1
11904,Neutral,0,0,1
11905,Positive,1,0,0
11906,Negative,0,2,1
11907,Neutral,0,0,1
11908,Positive,1,0,2
11909,Neutral,0,0,1
11910,Negative,0,1,0
11911,Neutral,0,0,2
11912,Neutral,0,0,2
11913,Negative,0,1,0
11914,Positive,1,0,1
11915,Negative,0,1,1
11916,Positive,1,0,5
11917,Neutral,0,0,2
11918,Neutral,0,0,3
11919,Neutral,0,0,1
11920,Neutral,0,0,1
11921,Negative,0,1,0
11922,Neutral,0,0,1
11923,Positive,1,0,1
11924,Neutral,0,0,1
11925,Positive,1,0,0
11926,Neutral,0,0,1
11927,Positive,1,0,2
11928,Mixed,1,1,1
11929,Neutral,0,0,2
11930,Positive,1,0,0
11931,Mixed,1,1,1
11932,Positive,1,0,1
11933,Neutral,0,0,3
11934,Negative,0,1,0
11935,Positive,2,0,0
11936,Positive,1,0,5
11937,Mixed,1,1,0
11938,Negative,0,1,1
11939,Neutral,0,0,2
11940,Negative,0,1,1
11941,Neutral,0,0,1
11942,Neutral,0,0,1
11943,Negative,0,1,2
11944,Neutral,0,0,2
11945,Negative,0,2,1
11946,Neutral,0,0,2
11947,Neutral,0,0,1
11948,Neutral,0,0,1
11949,Neutral,0,0,2
11950,Negative,0,1,2
11951,Negative,0,4,0
11952,Negative,0,2,0
11953,Negative,0,2,1
11954,Positive,2,0,1
11955,Positive,1,0,0
11956,Negative,0,1,1
11957,Neutral,0,0,1
11958,Positive,1,0,0
11959,Negative,0,1,0
11960,Neutral,0,0,1
11961,Neutral,0,0,1
11962,Neutral,0,0,1
11963,Negative,0,1,0
11964,Mixed,1,2,3
11965,Neutral,0,0,1
11966,Negative,0,1,2
11967,Mixed,1,3,0
11968,Mixed,1,1,3
11969,Negative,0,1,2
11970,Mixed,2,1,2
11971,Neutral,0,0,1
11972,Neutral,0,0,1
11973,Neutral,0,0,1
11974,Positive,2,0,0
11975,Positive,2,0,0
11976,Negative,0,1,2
11977,Negative,0,1,0
11978,Neutral,0,0,2
11979,Positive,1,0,1
11980,Neutral,0,0,2
11981,Positive,1,0,1
11982,Negative,0,1,1
11983,Negative,0,1,0
11984,Neutral,0,0,1
11985,Neutral,0,0,1
11986,Negative,0,1,3
11987,Mixed,2,1,3
11988,Neutral,0,0,1
11989,Neutral,0,0,1
11990,Neutral,0,0,3
11991,Positive,1,0,3
11992,Neutral,0,0,2
11993,Neutral,0,0,3
11994,Neutral,0,0,1
11995,Negative,0,2,1
11996,Neutral,0,0,1
11997,Neutral,0,0,2
11998,Positive,1,0,1
11999,Mixed,1,2,0
12000,Negative,0,1,1
12001,Negative,0,2,0
12002,Positive,1,0,1
12003,Positive,1,0,0
12004,Negative,0,1,0
12005,Neutral,0,0,3
12006,Positive,1,0,2
12007,Mixed,1,1,0
12008,Positive,1,0,1
12009,Neutral,0,0,1
12010,Negative,0,1,0
12011,Negative,0,1,0
12012,Positive,1,0,0
12013,Mixed,1,2,0
12014,Neutral,0,0,1
12015,Negative,0,1,0
12016,Negative,0,1,1
12017,Neutral,0,0,2
12018,Positive,1,0,0
12019,Neutral,0,0,1
12020,Neutral,0,0,1
12021,Neutral,0,0,1
12022,Positive,1,0,0
12023,Positive,1,0,0
12024,Positive,1,0,1
12025,Mixed,1,2,0
12026,Mixed,2,1,4
12027,Positive,2,0,0
12028,Negative,0,2,1
12029,Positive,1,0,2
12030,Negative,0,1,0
12031,Neutral,0,0,2
12032,Neutral,0,0,4
12033,Positive,1,0,0
12034,Neutral,0,0,1
12035,Neutral,0,0,1
12036,Neutral,0,0,1
12037,Neutral,0,0,1
12038,Positive,1,0,3
12039,Mixed,1,1,0
12040,Neutral,0,0,5
12041,Neutral,0,0,1
12042,Neutral,0,0,1
12043,Neutral,0,0,1
12044,Neutral,0,0,1
12045,Neutral,0,0,1
12046,Neutral,0,0,1
12047,Neutral,0,0,1
12048,Positive,2,0,0
12049,Mixed,1,2,0
12050,Neutral,0,0,1
12051,Positive,2,0,0
12052,Negative,0,1,1
12053,Neutral,0,0,1
12054,Neutral,0,0,1
12055,Neutral,0,0,1
12056,Neutral,0,0,1
12057,Mixed,2,1,3
12058,Neutral,0,0,1
12059,Neutral,0,0,1
12060,Neutral,0,0,2
12061,Positive,2,0,5
12062,Positive,1,0,0
12063,Neutral,0,0,1
12064,Neutral,0,0,1
12065,Neutral,0,0,1
12066,Neutral,0,0,1
12067,Neutral,0,0,1
12068,Neutral,0,0,2
12069,Negative,0,1,0
12070,Neutral,0,0,1
12071,Neutral,0,0,1
12072,Neutral,0,0,1
12073,Neutral,0,0,1
12074,Neutral,0,0,1
12075,Neutral,0,0,1
12076,Neutral,0,0,1
12077,Neutral,0,0,1
12078,Neutral,0,0,1
12079,Neutral,0,0,1
12080,Neutral,0,0,1
12081,Neutral,0,0,1
12082,Neutral,0,0,1
12083,Neutral,0,0,2
12084,Neutral,0,0,1
12085,Neutral,0,0,1
12086,Neutral,0,0,1
12087,Positive,1,0,0
12088,Neutral,0,0,1
12089,Neutral,0,0,1
12090,Neutral,0,0,1
12091,Neutral,0,0,1
12092,Negative,0,1,0
12093,Positive,1,0,2
12094,Positive,1,0,1
12095,Neutral,0,0,1
12096,Neutral,0,0,1
12097,Neutral,0,0,1
12098,Neutral,0,0,1
12099,Neutral,0,0,1
12100,Neutral,0,0,1
12101,Neutral,0,0,3
12102,Positive,2,0,1
12103,Neutral,0,0,4
12104,Negative,0,1,2
12105,Positive,1,0,3
12106,Positive,1,0,0
12107,Positive,1,0,2
12108,Positive,1,0,0
12109,Negative,0,2,3
12110,Neutral,0,0,1
12111,Negative,0,3,1
12112,Positive,1,0,0
12113,Neutral,0,0,1
12114,Neutral,0,0,2
12115,Negative,0,1,1
12116,Negative,0,1,0
12117,Neutral,0,0,1
12118,Neutral,0,0,1
12119,Neutral,0,0,2
12120,Positive,1,0,0
12121,Negative,0,1,1
12122,Positive,1,0,0
12123,Neutral,0,0,1
12124,Positive,2,0,0
12125,Negative,0,1,0
12126,Negative,0,3,0
12127,Positive,1,0,0
12128,Neutral,0,0,4
12129,Negative,0,2,0
12130,Neutral,0,0,1
12131,Neutral,0,0,3
12132,Positive,1,0,3
12133,Neutral,0,0,1
12134,Neutral,0,0,1
12135,Neutral,0,0,1
12136,Neutral,0,0,1
12137,Neutral,0,0,1
12138,Mixed,1,1,0
12139,Neutral,0,0,2
12140,Neutral,0,0,2
12141,Negative,0,1,0
12142,Negative,0,1,0
12143,Neutral,0,0,1
12144,Positive,1,0,0
12145,Neutral,0,0,1
12146,Neutral,0,0,1
12147,Neutral,0,0,1
12148,Neutral,0,0,1
12149,Neutral,0,0,1
12150,Neutral,0,0,1
12151,Mixed,1,1,0
12152,Negative,0,1,0
12153,Neutral,0,0,1
12154,Neutral,0,0,2
12155,Positive,2,0,1
12156,Neutral,0,0,2
12157,Negative,0,1,0
12158,Negative,0,1,0
12159,Positive,2,0,0
12160,Positive,1,0,1
12161,Positive,1,0,0
12162,Negative,0,1,1
12163,Negative,0,1,0
12164,Negative,0,1,0
12165,Mixed,2,1,0
12166,Negative,0,2,0
12167,Positive,2,0,1
12168,Positive,2,0,1
12169,Negative,0,2,4
12170,Neutral,0,0,2
12171,Positive,1,0,1
12172,Neutral,0,0,2
12173,Neutral,0,0,1
12174,Neutral,0,0,1
12175,Neutral,0,0,1
12176,Negative,0,1,2
12177,Negative,0,1,2
12178,Positive,2,0,0
12179,Positive,1,0,0
12180,Neutral,0,0,2
12181,Positive,1,0,0
12182,Positive,1,0,2
12183,Mixed,1,2,1
12184,Negative,0,1,1
12185,Positive,3,0,1
12186,Mixed,1,1,1
12187,Positive,1,0,1
12188,Positive,2,0,0
12189,Neutral,0,0,2
12190,Mixed,2,1,0
12191,Negative,0,2,0
12192,Positive,2,0,1
12193,Positive,2,0,1
12194,Negative,0,2,4
12195,Neutral,0,0,2
12196,Positive,1,0,1
12197,Neutral,0,0,2
12198,Neutral,0,0,1
12199,Neutral,0,0,1
12200,Neutral,0,0,1
12201,Negative,0,1,2
12202,Negative,0,1,2
12203,Positive,2,0,0
12204,Positive,1,0,0
12205,Neutral,0,0,2
12206,Positive,1,0,0
12207,Positive,1,0,2
12208,Positive,1,0,0
12209,Mixed,1,2,1
12210,Negative,0,1,1
12211,Positive,3,0,1
12212,Mixed,1,1,1
12213,Positive,1,0,1
12214,Positive,2,0,0
12215,Neutral,0,0,2
12216,Negative,0,2,0
12217,Neutral,0,0,2
12218,Positive,1,0,1
12219,Negative,0,2,0
12220,Negative,0,4,4
12221,Negative,0,1,3
12222,Mixed,1,1,0
12223,Neutral,0,0,1
12224,Neutral,0,0,5
12225,Neutral,0,0,1
12226,Neutral,0,0,1
12227,Neutral,0,0,1
12228,Positive,2,0,0
12229,Positive,1,0,0
12230,Negative,0,2,1
12231,Positive,1,0,2
12232,Neutral,0,0,2
12233,Negative,0,2,0
12234,Positive,2,0,0
12235,Positive,3,0,1
12236,Positive,2,0,2
12237,Neutral,0,0,3
12238,Neutral,0,0,1
12239,Neutral,0,0,1
12240,Neutral,0,0,1
12241,Neutral,0,0,3
12242,Negative,0,1,2
12243,Neutral,0,0,1
12244,Negative,0,1,0
12245,Negative,0,1,0
12246,Positive,1,0,0
12247,Positive,1,0,0
12248,Neutral,0,0,1
12249,Neutral,0,0,1
12250,Neutral,0,0,1
12251,Neutral,0,0,3
12252,Neutral,0,0,1
12253,Neutral,0,0,1
12254,Neutral,0,0,2
12255,Neutral,0,0,1
12256,Neutral,0,0,1
12257,Neutral,0,0,1
12258,Neutral,0,0,1
12259,Negative,0,1,1
12260,Neutral,0,0,1
12261,Neutral,0,0,1
12262,Neutral,0,0,1
12263,Positive,1,0,0
12264,Neutral,0,0,1
12265,Neutral,0,0,1
12266,Positive,1,0,0
12267,Neutral,0,0,1
12268,Positive,2,0,0
12269,Neutral,0,0,1
12270,Negative,0,1,1
12271,Positive,1,0,0
12272,Positive,2,0,0
12273,Positive,1,0,1
12274,Neutral,0,0,1
12275,Neutral,0,0,1
12276,Negative,0,1,0
12277,Neutral,0,0,2
12278,Mixed,1,1,1
12279,Neutral,0,0,1
12280,Neutral,0,0,2
12281,Positive,3,0,1
12282,Neutral,0,0,1
12283,Negative,0,1,2
12284,Positive,1,0,1
12285,Neutral,0,0,1
12286,Mixed,1,2,1
12287,Neutral,0,0,2
12288,Negative,0,1,4
12289,Positive,1,0,0
12290,Positive,1,0,0
12291,Positive,1,0,0
12292,Neutral,0,0,2
12293,Positive,1,0,1
12294,Negative,0,2,2
12295,Mixed,1,1,4
12296,Mixed,1,1,4
12297,Negative,0,2,1
12298,Negative,0,1,1
12299,Neutral,0,0,6
12300,Neutral,0,0,3
12301,Positive,1,0,5
12302,Mixed,1,1,4
12303,Neutral,0,0,1
12304,Positive,1,0,1
12305,Mixed,1,2,1
12306,Mixed,1,1,2
12307,Negative,0,2,1
12308,Positive,1,0,0
12309,Neutral,0,0,2
12310,Negative,0,2,2
12311,Negative,0,1,2
12312,Negative,0,1,1
12313,Positive,1,0,5
12314,Mixed,1,1,4
12315,Negative,0,1,2
12316,Negative,0,2,1
12317,Positive,1,0,2
12318,Neutral,0,0,6
12319,Negative,0,2,1
12320,Positive,1,0,0
12321,Neutral,0,0,1
12322,Positive,1,0,4
12323,Positive,1,0,5
12324,Negative,0,2,1
12325,Mixed,1,1,4
12326,Mixed,1,2,3
12327,Positive,1,0,1
12328,Mixed,1,1,4
12329,Negative,0,1,3
12330,Mixed,1,1,1
12331,Positive,1,0,0
12332,Negative,0,1,1
12333,Neutral,0,0,2
12334,Negative,0,2,0
12335,Positive,1,0,1
12336,Positive,1,0,2
12337,Positive,1,0,2
12338,Neutral,0,0,1
12339,Neutral,0,0,2
12340,Positive,1,0,0
12341,Neutral,0,0,1
12342,Positive,1,0,0
12343,Positive,1,0,0
12344,Neutral,0,0,1
12345,Positive,2,0,2
12346,Positive,1,0,1
12347,Positive,1,0,2
12348,Neutral,0,0,1
12349,Neutral,0,0,1
12350,Neutral,0,0,1
12351,Mixed,1,1,1
12352,Neutral,0,0,1
12353,Positive,1,0,0
12354,Neutral,0,0,2
12355,Neutral,0,0,2
12356,Negative,0,1,3
12357,Positive,1,0,0
12358,Negative,0,1,2
12359,Neutral,0,0,1
12360,Neutral,0,0,1
12361,Negative,0,1,0
12362,Negative,0,1,0
12363,Negative,0,1,0
12364,Negative,0,1,1
12365,Neutral,0,0,1
12366,Neutral,0,0,1
12367,Positive,1,0,1
12368,Neutral,0,0,1
12369,Neutral,0,0,1
12370,Neutral,0,0,1
12371,Neutral,0,0,1
12372,Neutral,0,0,1
12373,Positive,1,0,3
12374,Positive,2,0,0
12375,Negative,0,1,0
12376,Neutral,0,0,1
12377,Positive,1,0,0
12378,Negative,0,1,2
12379,Positive,2,0,0
12380,Negative,0,1,1
12381,Neutral,0,0,1
12382,Negative,0,1,1
12383,Neutral,0,0,1
12384,Neutral,0,0,1
12385,Neutral,0,0,1
12386,Neutral,0,0,1
12387,Neutral,0,0,1
12388,Neutral,0,0,1
12389,Negative,0,2,0
12390,Positive,1,0,0
12391,Neutral,0,0,1
12392,Neutral,0,0,1
12393,Neutral,0,0,1
12394,Positive,1,0,2
12395,Neutral,0,0,1
12396,Neutral,0,0,1
12397,Neutral,0,0,1
12398,Neutral,0,0,1
12399,Neutral,0,0,1
12400,Neutral,0,0,1
12401,Neutral,0,0,1
12402,Neutral,0,0,1
12403,Positive,2,0,0
12404,Neutral,0,0,2
12405,Positive,1,0,0
12406,Positive,1,0,2
12407,Neutral,0,0,1
12408,Mixed,4,1,2
12409,Neutral,0,0,1
12410,Neutral,0,0,1
12411,Neutral,0,0,1
12412,Neutral,0,0,1
12413,Neutral,0,0,1
12414,Neutral,0,0,1
12415,Neutral,0,0,1
12416,Neutral,0,0,1
12417,Neutral,0,0,1
12418,Neutral,0,0,1
12419,Neutral,0,0,1
12420,Neutral,0,0,1
12421,Neutral,0,0,1
12422,Neutral,0,0,1
12423,Neutral,0,0,1
12424,Neutral,0,0,1
12425,Neutral,0,0,1
12426,Neutral,0,0,1
12427,Neutral,0,0,1
12428,Neutral,0,0,1
12429,Neutral,0,0,1
12430,Neutral,0,0,1
12431,Neutral,0,0,1
12432,Neutral,0,0,1
12433,Neutral,0,0,1
12434,Neutral,0,0,1
12435,Neutral,0,0,1
12436,Neutral,0,0,1
12437,Neutral,0,0,1
12438,Neutral,0,0,1
12439,Positive,1,0,1
12440,Neutral,0,0,1
12441,Positive,1,0,2
12442,Positive,1,0,0
12443,Neutral,0,0,1
12444,Negative,0,1,0
12445,Neutral,0,0,1
12446,Neutral,0,0,1
12447,Negative,0,1,0
12448,Positive,1,0,0
12449,Positive,1,0,0
12450,Positive,2,0,1
12451,Neutral,0,0,1
12452,Neutral,0,0,1
12453,Neutral,0,0,1
12454,Mixed,1,1,0
12455,Neutral,0,0,1
12456,Neutral,0,0,1
12457,Neutral,0,0,1
12458,Neutral,0,0,1
12459,Mixed,1,1,0
12460,Neutral,0,0,1
12461,Neutral,0,0,1
12462,Neutral,0,0,1
12463,Neutral,0,0,1
12464,Neutral,0,0,1
12465,Negative,0,1,0
12466,Neutral,0,0,1
12467,Neutral,0,0,2
12468,Neutral,0,0,1
12469,Negative,0,1,0
12470,Negative,0,2,0
12471,Positive,2,0,2
12472,Negative,0,1,3
12473,Positive,1,0,3
12474,Neutral,0,0,1
12475,Negative,0,1,1
12476,Negative,0,2,3
12477,Neutral,0,0,1
12478,Neutral,0,0,1
12479,Neutral,0,0,1
12480,Neutral,0,0,4
12481,Positive,1,0,0
12482,Negative,0,1,0
12483,Positive,1,0,2
12484,Negative,0,1,0
12485,Positive,1,0,3
12486,Mixed,2,1,0
12487,Negative,0,1,0
12488,Negative,0,1,0
12489,Negative,0,1,1
12490,Neutral,0,0,1
12491,Positive,1,0,1
12492,Positive,2,0,1
12493,Neutral,0,0,1
12494,Positive,1,0,3
12495,Neutral,0,0,1
12496,Neutral,0,0,1
12497,Positive,1,0,0
12498,Negative,0,2,0
12499,Neutral,0,0,2
12500,Negative,0,2,1
12501,Negative,0,1,1
12502,Neutral,0,0,1
12503,Mixed,2,1,0
12504,Positive,2,0,1
12505,Neutral,0,0,1
12506,Neutral,0,0,1
12507,Positive,1,0,1
12508,Positive,1,0,0
12509,Negative,0,3,0
12510,Neutral,0,0,1
12511,Neutral,0,0,1
12512,Neutral,0,0,1
12513,Neutral,0,0,1
12514,Positive,1,0,0
12515,Neutral,0,0,2
12516,Negative,0,1,1
12517,Negative,0,1,1
12518,Negative,0,1,0
12519,Negative,0,2,0
12520,Neutral,0,0,2
12521,Neutral,0,0,3
12522,Neutral,0,0,1
12523,Negative,0,1,0
12524,Neutral,0,0,1
12525,Positive,1,0,0
12526,Negative,0,2,2
12527,Negative,0,2,1
12528,Positive,1,0,1
12529,Neutral,0,0,1
12530,Neutral,0,0,3
12531,Negative,0,1,1
12532,Neutral,0,0,2
12533,Positive,1,0,0
12534,Mixed,2,1,1
12535,Neutral,0,0,2
12536,Positive,1,0,2
12537,Neutral,0,0,4
12538,Neutral,0,0,1
12539,Neutral,0,0,1
12540,Neutral,0,0,1
12541,Neutral,0,0,1
12542,Neutral,0,0,1
12543,Neutral,0,0,1
12544,Neutral,0,0,1
12545,Neutral,0,0,1
12546,Positive,2,0,0
12547,Neutral,0,0,1
12548,Neutral,0,0,1
12549,Neutral,0,0,1
12550,Neutral,0,0,1
12551,Mixed,1,1,1
12552,Neutral,0,0,1
12553,Neutral,0,0,1
12554,Neutral,0,0,1
12555,Neutral,0,0,1
12556,Neutral,0,0,1
12557,Neutral,0,0,1
12558,Neutral,0,0,1
12559,Neutral,0,0,1
12560,Neutral,0,0,1
12561,Neutral,0,0,1
12562,Neutral,0,0,1
12563,Neutral,0,0,1
12564,Negative,0,1,0
12565,Neutral,0,0,1
12566,Neutral,0,0,1
12567,Neutral,0,0,1
12568,Neutral,0,0,1
12569,Negative,0,1,0
12570,Positive,1,0,0
12571,Neutral,0,0,1
12572,Mixed,1,1,0
12573,Neutral,0,0,1
12574,Neutral,0,0,1
12575,Neutral,0,0,1
12576,Neutral,0,0,1
12577,Neutral,0,0,1
12578,Neutral,0,0,1
12579,Neutral,0,0,1
12580,Neutral,0,0,1
12581,Neutral,0,0,1
12582,Neutral,0,0,1
12583,Neutral,0,0,2
12584,Neutral,0,0,1
12585,Neutral,0,0,1
12586,Neutral,0,0,1
12587,Neutral,0,0,1
12588,Neutral,0,0,1
12589,Neutral,0,0,1
12590,Neutral,0,0,1
12591,Neutral,0,0,1
12592,Neutral,0,0,1
12593,Neutral,0,0,1
12594,Neutral,0,0,1
12595,Positive,1,0,1
12596,Neutral,0,0,1
12597,Neutral,0,0,1
12598,Neutral,0,0,1
12599,Neutral,0,0,1
12600,Neutral,0,0,1
12601,Positive,1,0,1
12602,Neutral,0,0,1
12603,Neutral,0,0,1
12604,Neutral,0,0,1
12605,Neutral,0,0,1
12606,Neutral,0,0,1
12607,Neutral,0,0,1
12608,Neutral,0,0,1
12609,Neutral,0,0,1
12610,Neutral,0,0,1
12611,Neutral,0,0,1
12612,Positive,1,0,1
12613,Positive,1,0,1
12614,Positive,1,0,0
12615,Positive,2,0,1
12616,Neutral,0,0,2
12617,Negative,0,1,1
12618,Neutral,0,0,2
12619,Negative,0,2,1
12620,Neutral,0,0,1
12621,Negative,0,1,1
12622,Neutral,0,0,1
12623,Positive,2,0,0
12624,Negative,0,1,0
12625,Mixed,1,1,0
12626,Mixed,1,1,0
12627,Positive,1,0,0
12628,Neutral,0,0,1
12629,Neutral,0,0,1
12630,Neutral,0,0,1
12631,Neutral,0,0,1
12632,Negative,0,1,0
12633,Neutral,0,0,1
12634,Neutral,0,0,1
12635,Negative,0,1,0
12636,Negative,0,2,2
12637,Neutral,0,0,4
12638,Negative,0,1,3
12639,Neutral,0,0,3
12640,Positive,1,0,1
12641,Neutral,0,0,1
12642,Negative,0,1,0
12643,Positive,1,0,0
12644,Neutral,0,0,3
12645,Negative,0,1,1
12646,Neutral,0,0,1
12647,Mixed,1,1,0
12648,Negative,0,1,1
12649,Negative,0,2,3
12650,Positive,1,0,1
12651,Negative,0,1,0
12652,Neutral,0,0,1
12653,Neutral,0,0,2
12654,Neutral,0,0,1
12655,Neutral,0,0,1
12656,Neutral,0,0,3
12657,Positive,1,0,2
12658,Positive,3,0,0
12659,Positive,1,0,0
12660,Neutral,0,0,1
12661,Positive,2,0,0
12662,Neutral,0,0,1
12663,Neutral,0,0,1
12664,Neutral,0,0,3
12665,Neutral,0,0,2
12666,Neutral,0,0,1
12667,Neutral,0,0,1
12668,Positive,1,0,2
12669,Positive,1,0,2
12670,Neutral,0,0,1
12671,Neutral,0,0,1
12672,Positive,1,0,0
12673,Neutral,0,0,1
12674,Positive,1,0,0
12675,Neutral,0,0,1
12676,Negative,0,1,1
12677,Neutral,0,0,1
12678,Neutral,0,0,1
12679,Negative,0,1,1
12680,Neutral,0,0,1
12681,Neutral,0,0,1
12682,Negative,0,1,0
12683,Neutral,0,0,3
12684,Negative,0,1,1
12685,Mixed,2,1,0
12686,Neutral,0,0,1
12687,Neutral,0,0,1
12688,Mixed,1,1,1
12689,Neutral,0,0,1
12690,Neutral,0,0,1
12691,Neutral,0,0,1
12692,Negative,0,1,2
12693,Positive,3,0,2
12694,Mixed,2,2,0
12695,Negative,0,1,2
12696,Neutral,0,0,2
12697,Negative,0,1,0
12698,Negative,0,1,2
12699,Mixed,1,1,0
12700,Positive,1,0,0
12701,Negative,0,1,0
12702,Negative,0,1,0
12703,Negative,0,1,0
12704,Positive,1,0,0
12705,Positive,1,0,1
12706,Neutral,0,0,1
12707,Positive,3,0,1
12708,Neutral,0,0,1
12709,Mixed,1,1,4
12710,Positive,3,0,1
12711,Positive,1,0,0
12712,Positive,3,0,3
12713,Negative,0,2,0
12714,Mixed,1,1,1
12715,Positive,1,0,3
12716,Negative,0,1,0
12717,Positive,1,0,0
12718,Positive,1,0,1
12719,Negative,0,1,1
12720,Positive,2,0,0
12721,Neutral,0,0,1
12722,Positive,1,0,7
12723,Neutral,0,0,3
12724,Negative,0,1,1
12725,Negative,0,1,1
12726,Negative,0,2,1
12727,Negative,0,1,0
12728,Neutral,0,0,4
12729,Negative,0,2,1
12730,Negative,0,1,1
12731,Negative,0,1,0
12732,Neutral,0,0,3
12733,Negative,0,1,1
12734,Negative,0,1,0
12735,Neutral,0,0,2
12736,Negative,0,1,3
12737,Positive,1,0,0
12738,Negative,0,1,1
12739,Positive,1,0,1
12740,Neutral,0,0,1
12741,Neutral,0,0,1
12742,Neutral,0,0,2
12743,Neutral,0,0,1
12744,Mixed,1,2,2
12745,Neutral,0,0,1
12746,Positive,1,0,1
12747,Neutral,0,0,1
12748,Positive,3,0,2
12749,Neutral,0,0,1
12750,Mixed,1,1,6
12751,Neutral,0,0,1
12752,Neutral,0,0,4
12753,Neutral,0,0,1
12754,Mixed,1,1,1
12755,Positive,2,0,2
