,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count
17,0,2823296973,nicholas_tetlow,2020-11-18,"Amazing to think this fish is about 16 old , and despite , , raw sewage and fish - to - eat folk she is still fit and healthy ️️️ checked and unharmed in 2 : 07 . pike fishing PAC",Positive,0,1,1
18,1,68417138,sallyhcross,2020-11-18,2nd story in in,Positive,0,1,0
19,2,955715357226033152,for_every_helen,2020-11-18,"That ' s beautiful ! Here it is generally severe instead . I suppose that is global heating for all of us , in different ways .",Mixed,1,1,1
20,3,4865168338,screwloose1980,2020-11-18,"Flood at Bridge , Road , 1922",Neutral,0,0,1
21,4,246324373,floodmary,2020-11-18,"Fabulous to see the OX - CAM Pathfinder project coming on a pace ! You can see an excellent example of an non - return valve in the photo . Many of flood and recoverable will be displayed , when it ' s finished .",Positive,0,2,1
22,5,601892162,br_foundation,2020-11-18,"We ’ re so with the lovely Birthday that have been flooding in , this wonderful message from Bath President , Hall . ️️",Positive,0,1,0
23,6,1019220962942779392,lbl_racing,2020-11-18,Great video of Flood Defence coming a very close 2nd at last week .,Positive,0,1,0
24,7,949912893729931264,annmari47023026,2020-11-18,"Don ' t you two want to protect your child from climate change ? Stop HS2 our & ; wildlife ! Cancel animal Agriculture ... or see , starvation , , , , antibiotic resistance & ; extinction before your child is old enough to vote !",Mixed,2,2,2
25,8,74977206,jkmanc1974,2020-11-18,Image of the day - in 2009 during the - flood done a great job since,Positive,0,1,0
26,9,1281042793,eric_hawkins9,2020-11-18,"Cyclone in central causing havoc , thousand of , flooding and , so glad we live in a safe climate , where the are the best this year . So important to life",Positive,0,2,0
27,10,1375433108,stuart_wally,2020-11-18,"No I ’ m struggling to understand the rationale , and can only see defensive flooding their team with more defensive if winning 1 - 0 going into the last 1 / 4 of the game or happy with a 0 - 0",Positive,0,1,0
28,11,3377000397,mickhumph,2020-11-18,"What a blessing . We have 600 square of flood plain on the . At the bottom if our village . This these away . They are just money , but people can sometimes work .",Positive,0,1,4
29,12,3446146816,riverlevelsuk,2020-11-18,Flood Warning : North Sea at - Foreshore Road 11 : 26 18,Neutral,0,0,1
30,13,26216700,maisymimi,2020-11-18,What is the point in when they just keep flooding in ... I could just stop and run away to a happy place and forget them please .,Positive,0,1,1
31,14,17539285,rcfoster,2020-11-18,"All will laugh at this , by a little sigh then break down in of ..",Positive,0,1,0
32,15,6974632,catfish8888,2020-11-18,rogue This startling revelation came from team - curiously this gem ' t included in flood of to ! Was trying to bury it ? ' s Day 11 cosy media flimflam never revealed the club got booted over £ 800K .,Mixed,1,1,1
33,16,74441858,barbosavl,2020-11-18,When part of your scenic running route with your local river Riverside flooding running,Neutral,0,0,1
34,17,193413930,27tawnyowl,2020-11-18,"1421 - "" A at the dike , flooding 72 and killing about 10 , 000 people in the .""",Negative,1,0,0
35,18,13275052,rwnash,2020-11-18,No flooding (@ Central Railway Station ( ) - in ),Neutral,0,0,1
36,19,1723426980,mariarushe_,2020-11-18,Over € 300 raised by bedtime last night ! So excited to see how many of care we can raise for the incredible Jack & ; . Help us flood social media with & ; magic on 29th .,Positive,0,3,1
37,20,873972205666873346,carpmanpeter,2020-11-18,Cap ? That is just the start of it . We will need willies to Wade through the of over how much it will cost us . The game is stuck in a loop of so hardly worth it unless change for the better,Negative,1,0,3
38,0,858177372,petagna,2019-01-21,Plenty more unsettled weather for SE next 10 days or so .. Flash flooding possible .,Negative,1,0,1
39,1,864305556,rubyleigh_30,2019-01-21,’ t change the relationship I have with my mum for the world . We are always exactly what the other one needs and always manage to make each other laugh even through of . Sorry being silly but I just had to say it ‍️️,Mixed,1,1,1
40,2,609480720,broadreach53,2019-01-21,"Was he a bit relieved when it . There must have been slight that he ' d gone to all that effort if there was no flood ! Quietly , he ' t want to look a right tit in front of the",Negative,1,0,2
41,3,3446146816,riverlevelsuk,2019-01-21,"Flood Alert : Tidal River at , Pill and 21 : 24 21",Neutral,0,0,1
42,4,295653609,wmpowell2021,2019-01-21,"The effect on Welsh would be catastrophic , flooding the market with lamb in a welfare environment inferior to our own . As a further consequence , it would trigger a culling unprecedented in Welsh history 🇪🇺",Negative,2,0,0
43,5,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Somerset coast at Weir 18 : 14 21,Neutral,0,0,1
44,6,301130101,aidanritchie27,2019-01-21,"93 I ' m convinced every one of us . as captain , Telfer , Willow Flood , and never him , rocking Old with . Just trolling all of us for 4 .",Neutral,0,0,3
45,7,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Coast from to 16 : 00 21,Neutral,0,0,1
46,8,3446146816,riverlevelsuk,2019-01-21,Flood Alert : estuary from and End to Little 15 : 59 21,Neutral,0,0,1
47,9,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Coast at North Bay 15 : 53 21,Neutral,0,0,1
48,10,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Tidal Area at 15 : 58 21,Neutral,0,0,1
49,11,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Wye Estuary in 15 : 35 21,Neutral,0,0,1
50,12,1601444113,mr_kevin_1997,2019-01-21,"Restoration of autonomy ? I ’ t know the indigenous population to Central where half of them along the way , and then flooding with was “ autonomy ”? But then again the Colorado ( ) are in denial at how barbaric they are",Negative,1,0,2
51,13,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Estuary at 13 : 07 21,Neutral,0,0,1
52,14,37633178,edinburghbooks,2019-01-21,Came in this morning to discover we ' d had a flood from the flat above . section and art badly hit .,Negative,2,0,0
53,15,134092014,hangblaa,2019-01-21,"This is dog - whistling to . It ’ s code for : Soon will ‘ replace ’ the and will be the majority religion in , if we don ’ t stop the ‘ flood ’ of coming in here .",Neutral,0,0,2
54,16,727097757534687232,cubberley_john,2019-01-21,GUT ... 415 GALE 450 EDGE 525 DAN 555 TECHNOLOGICAL 625 FLOOD DEFENCE 655 725 BIG BAD 755 . NAP TODAY 725 . ALSO ARE TOTALLY TOO,Negative,1,0,3
55,17,21089670,ninamartell,2019-01-21,Little bit more let ' s flood it with colour now progress architecture best @,Positive,0,1,1
56,18,966977356081586177,peat_mark,2019-01-21,It ’ t just that did it . Labour up the flood while our EU membership continued to cost us our and public . I will never vote Labour again mainly thanks to like you who ’ t give a arse about your people .,Mixed,1,1,1
57,19,1444253772,vicky_gilmour,2019-01-21,I ’ just after 6 sleep stayed up to watch it . And it all comes flooding in how great it was .,Positive,0,1,1
58,0,1663639110,hafsabobat,2020-01-18,"Yes that ' s what the mark scheme . A lot have written flooding and storm though . I don ' t think I can credit this right , since it ' s not weather ...? Low pressure and strong would be fine but not the effect of them ....",Negative,1,0,3
59,1,1663639110,hafsabobat,2020-01-18,"help in a mental block here . "" Give two of extreme weather associated with tropical "". Flash flooding is not a type of extreme weather right ? What about a storm surge ?",Positive,0,1,3
60,2,2990273793,coventrypie,2020-01-18,( Hill flooding continued ) The run off from the field abutting the road been a problem for a significant period and the have been unable to deal with the water * from the field - not to mention the vast along the flood route,Negative,2,0,0
61,3,3958973973,amor_wilkes,2020-01-18,"Am I missing something here , as the waste is all water it will all run into the sea and the sea will overflow and flood low lying land ?",Negative,1,0,0
62,4,2990273793,coventrypie,2020-01-18,- hi Mark - I am sure you are aware of the constant flooding which is again this weekend at the Hill / Road junction - please can you use you good to intervene to get a solution to the ongoing ?- ( ),Neutral,0,0,1
63,5,15016982,jimdonahue7,2020-01-18,Beautiful sunset over the flood at tonight @ Estate,Positive,0,1,0
64,6,3446146816,riverlevelsuk,2020-01-18,Flood Alert : 20 : 25 18,Neutral,0,0,1
65,7,3446146816,riverlevelsuk,2020-01-18,Flood Alert : Lower River at the River confluence at 20 : 25 18,Neutral,0,0,1
66,8,3446146816,riverlevelsuk,2020-01-18,"Flood Alert : River for , Lower and 20 : 25 18",Neutral,0,0,1
67,9,3446146816,riverlevelsuk,2020-01-18,"Flood Alert : River for , , and its 20 : 25 18",Neutral,0,0,1
68,10,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from to 20 : 25 18,Neutral,0,0,1
69,11,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from Hurley to 20 : 25 18,Neutral,0,0,1
70,12,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from to Green 20 : 25 18,Neutral,0,0,1
71,13,3446146816,riverlevelsuk,2020-01-18,Flood Alert : Upper River Wey 20 : 25 18,Neutral,0,0,1
72,14,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and its from Upper down to 19 : 38 18,Neutral,0,0,1
73,15,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River Ray and its from Lee to and 19 : 38 18,Neutral,0,0,1
74,16,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and Brook 19 : 38 18,Neutral,0,0,1
75,17,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and its small from to 19 : 39 18,Neutral,0,0,1
76,18,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and from Wick down to Lock 19 : 39 18,Neutral,0,0,1
77,19,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from to 19 : 39 18,Neutral,0,0,1
78,0,568349106,lawt_d,2018-09-05,"“ There is a tide in the of men , Which taken at the flood , on to fortune . , all the voyage of their life is bound in shallows and in . On such a full sea are we now afloat .” It ’ s now or never !",Neutral,0,0,4
79,1,22777721,eileenkelly33,2018-09-05,What is not happening ! Flood alleviation a flood by a water main in Road closed today and may not be open until after the weekend !,Negative,1,0,1
80,2,173846043,coffeeneedednow,2018-09-05,"’ t ask for yet ANOTHER hectic day . On set , a toilet was , a flood , through the roof and cut off the . LATER , train by 1 hour . at work . Need to be up by 7 .",Negative,2,0,3
81,3,303999750,andynbrown16,2018-09-05,Without a shadow of doubt engagement is 1 of the MOST key of flood risk . the central piece of the ( or mosaic if you prefer !),Negative,1,0,1
82,4,708988477,killygarrygaa66,2018-09-05,"Lotto : 1 , 17 , 27 , 31 No Winner € 40 : Mark Lynch , ; Flood , ; Smith ; , . Next week ' s will be € 13 , 200 . The draw will take place in the Meadow View Bar . Good luck everyone .",Positive,0,1,6
83,5,331485453,a_s_rich,2018-09-05,Yeah me too . Thankfully they had a spillway last time we had a century flood so not as much damage . But still not passable .,Negative,2,0,1
84,6,461945920,wanderingian,2018-09-05,"Hi , suggest you need to make sure all the in March are clear . What are you ’ re to prevent flooding in Fenland this autumn / winter ?",Neutral,0,0,2
85,7,461945920,wanderingian,2018-09-05,"It ’ s always good to know what is supposed to happen . At this time of year , in March , the leaves just end up blocking the and cause flooding when it",Positive,0,1,1
86,8,2899652613,barelyonfire,2018-09-05,"the tea is that y ’ all will be flooding famous drag when they tweet something cryptic or sad , but refuse to check up on your actual when they ’ re not doing too good ️",Negative,1,0,0
87,9,749911459430367232,gothloretta,2018-09-05,"So cute , one letter from their and the are in ️",Positive,0,1,0
88,10,593756033,dailysurrey,2018-09-05,Crawley after burst water main road to flood,Negative,1,0,0
89,11,20149653,hollyy_atkin,2018-09-05,It never but in . Major to prevent future flooding have .. another flood from a burst water pipe !,Negative,1,0,2
90,12,2498871378,greenbeltsal,2018-09-05,How Union most probably the extra flooding by Hellish on,Neutral,0,0,1
91,13,426740892,iaing81,2018-09-05,Tropical Storm made landfall in and will now move slowly over the next few days . I think rain will be very high with flooding .,Neutral,0,0,2
92,14,468510569,bae_bristol,2018-09-05,"sale HEAD OVER TO OUR NOW ! Stock clearance and sale available . When they ' re gone , they are gone . Blaze Delta Design LED Scene Flood Work and much more !",Neutral,0,0,4
93,15,469535917,jamesmorgan1973,2018-09-05,under water again ! Unbelievable Flood,Positive,0,1,1
94,0,23586801,victoriaemmabri,2017-03-25,What a wonderful episode I am absolutely in of,Positive,0,1,0
95,1,721758440482349056,s0memonsoon,2017-03-25,when your you so much and you end up in of,Neutral,0,0,1
96,2,2647531160,triboseat,2017-03-25,can anyone else see the fox shape of the flood lit track,Neutral,0,0,1
97,3,2591204906,lovesheffielduk,2017-03-25,Police set to flood in latest crime blitz,Negative,1,0,0
98,4,2591204906,lovesheffielduk,2017-03-25,Police set to flood in latest crime blitz - The Star,Negative,1,0,0
99,5,1359151604,sosheffield,2017-03-25,Police set to flood in latest crime blitz - The Star,Negative,1,0,0
100,6,86832038,syusyuhaida,2017-03-25,River after flooding yesterday and it ' s sunny all day today ! Lovely ! york @ River …,Positive,0,1,2
101,7,531367880,hamish_ellis,2017-03-25,Sunny day in rehearsal . Flood Hull17,Neutral,0,0,2
102,8,3446146816,riverlevelsuk,2017-03-25,Flood Alert : River and its 14 : 38 24 March,Neutral,0,0,1
103,9,617898452,ollie_rd,2017-03-25,: Not all the covenant went through to the Ark and Truth dying ' t end the war . Also the Flood ' t .,Negative,1,0,1
104,10,238533275,stephdufc83,2017-03-25,can ' t see flood is lucky to still be on the park ! He should have been off at . player .,Positive,0,1,2
105,11,117595462,djmarkkavanagh,2017-03-25,Am in and the are flooding back . I don ' t recall the bar …,Neutral,0,0,2
106,12,2909746599,jonnyr_labour,2017-03-25,"Also a problem for May if of Hard , old fashioned conservative flood her party again",Negative,1,0,0
107,13,238533275,stephdufc83,2017-03-25,Just send flood off eh . He ' s,Neutral,0,0,2
108,14,726663090,jakewelsh10,2017-03-25,"10 since ma beloved , the famous won the cup flooding back at half time the day 🇳🇬🇮🇪",Positive,0,1,0
109,15,238533275,stephdufc83,2017-03-25,Flood ' t cross a road .,Neutral,0,0,1
110,16,3446146816,riverlevelsuk,2017-03-25,Flood Alert : Upper River 09 : 59 25 March,Neutral,0,0,1
111,17,3446146816,riverlevelsuk,2017-03-25,"Flood Alert : , and 10 : 55 23 March",Neutral,0,0,1
112,18,3446146816,riverlevelsuk,2017-03-25,"Flood Alert : , and 10 : 55 23 March",Neutral,0,0,1
113,19,3446146816,riverlevelsuk,2017-03-25,Flood Alert : Tidal River 10 : 03 25 March,Neutral,0,0,1
114,0,1329709235979104256,ynyshir2020,2020-12-08,coal mining flooding no ? Help us . Join our group and like our page,Positive,0,1,2
115,1,1237121,longwelsh,2020-12-08,know you ’ re in the hole though . I can ’ t say someone with an overly high noise floor and some background hum is the same as my kitchen is flooding .,Negative,1,0,1
116,2,546727841,matthewhicks13,2020-12-08,"I ' d say they have something to do with flood mitigation , which was the landowner ' s justification for doing it .",Neutral,0,0,1
117,3,419822288,c_dodson_thatch,2020-12-08,"Certainly good land management is key . What is good land for partridge , uncut grass meadow is perfect for small , and so on . Flood plain used as pasture is amazing for , ground , but good for in winter",Positive,0,3,0
118,4,945429962,jmrogers2000,2020-12-08,"Now - Don ' t attack , flood the & ; stop the counter . Then kill them off on the break .",Negative,1,0,2
119,5,17949485,rossmcgill,2020-12-08,Tried to play around with the shower taps !!!! Think and flood ...,Neutral,0,0,2
120,6,135195401,robynwoolston,2020-12-08,Climate crisis to triple flooding threat for low - income US by 2050 ///////,Negative,1,0,0
121,7,1006149809961566208,wrexhamforeu,2020-12-08,"Is this part of the flood of investment by Liar during the general election campaign ? Oh , it ’ s in not after originally saying it would be in the .",Negative,1,0,1
122,8,4795755449,colinfb5,2020-12-08,"1 . , calculatedly triggered the flood of people from . 2 . , repeatedly the sh1t , lie upon lie and zero responsibility . 3 . being so weak to commit to ill and loosely defined referendum just to get to No 10 .",Negative,2,0,4
123,9,357011851,tinaonions,2020-12-08,"FLOOD PATROL UPDATE 4pm 8 / 12 / 2020 . Slash lane , remain Impassable and Closed ️ due to Flooding / Debris ️ lane , ( between Slash lane - A6 bypass ) is Passable with ️ due to Flooding & ; Debris so use ️ lane - Clear but but use ️ due to Debris .",Negative,1,0,2
124,10,41839007,rossihancock,2020-12-08,Thanks for flooding my garage / gym through your own error . Exactly the phone call I hoped to receive from my wife at work,Mixed,1,1,0
125,11,239980914,watterloony,2020-12-08,Flood in photo yet !,Neutral,0,0,1
126,12,2335515739,mistermac97,2020-12-08,Avoid / Road end of Road in - Road Closed due to flood,Negative,1,0,0
127,13,301692393,openairend,2020-12-08,flooding back already ....,Neutral,0,0,1
128,14,1242922647928950784,cwmdaren,2020-12-08,"With winter starting I was just wondering what the resent flood are thinking about the Government in . Broken , and a downright disregard for The Welsh people . Any update please ?",Negative,2,0,1
129,15,14141164,jamesshoebottom,2020-12-08,My a short walk around boating lake by .,Neutral,0,0,1
130,16,121621638,rcrohit7,2020-12-08,"On the 68 anniversary of the Great Smog of , my new paper with evidence on how certified are flooding your living room with harmful particulate matter",Negative,1,0,0
131,17,1173613725082894337,f15jcm,2020-12-08,"Yep . , the boss also a big stake which I like . As soon as government support I think the flood will open . Even if I ' m wrong the downside ' t look too bad .",Mixed,1,2,1
132,18,20301082,stanchers,2020-12-08,", so I was already what with it being V - Day , but in absolute watching this amazing film of what friendship can drive you to achieve .",Positive,0,1,0
133,19,1108364473440632832,beachruminator,2020-12-08,"Anything that dead weight to prevent movement . Flood , underpinning , crowd control , test card ... I assume we will return to 1970s after",Negative,1,0,2
134,20,74441858,barbosavl,2020-12-08,"Amazing work ! build first dam in in more than 400 . Beaver , and help human too – by flooding through , and filtering water as it downstream . flood",Positive,0,1,3
135,21,357011851,tinaonions,2020-12-08,"Flood Alert Update 6am 8 / 12 / 2020 . Slash lane - Impassable and Closed ️ lane , is Flooded but Passable with Caution ️ Other Flood prone are Clear .",Positive,0,1,1
136,22,246324373,floodmary,2020-12-08,So is adaptation to speed up flood recovery the answer ?,Neutral,0,0,1
137,23,2539681750,iamruthpainter,2020-12-08,"They will probably be feeling uncomfortable , with , internal pelvic pain , bloating , & ; hormone imbalance causing you to feel emotional , sometimes tearful , sometimes angry , sometimes forgetful , sometimes confused . For the first few days it might flood the pad with",Negative,2,0,1
138,0,3446146816,riverlevelsuk,2017-02-08,Flood Alert : South 10 : 26 7,Neutral,0,0,1
139,1,401623819,khiajourno,2017-02-08,got me in of,Neutral,0,0,1
140,2,3446146816,riverlevelsuk,2017-02-08,Flood Alert : River and its 08 : 37 8,Neutral,0,0,1
141,3,310782331,bdhorrigan,2017-02-08,""" Flood "" is going to be magnificent . Hull2017",Positive,0,1,1
142,4,729975578464489472,rogerdrew8,2017-02-08,"Hs2 don ' t care about , EDUCATION , FIRE , SOCIAL CARE , FLOOD DEFENSE , COASTAL EROSION - OR IS THAT THE GOVERNMENT HS2",Negative,1,0,0
143,5,3072692500,llandrillop_s,2017-02-08,today for the Muir award . Helping the prevention of flooding by the .,Positive,0,1,1
144,6,2924341488,sheena_s_kaur,2017-02-08,have made available a telephone tax 0800 904 7900 for anyone affected by severe weather or .,Negative,1,0,0
145,7,252821029,apple1910,2017-02-08,Day well spent at the Flood Risk Management Conference frm2017,Positive,0,1,0
146,8,174275363,rossimcneil,2017-02-08,"I hope all the joey land , flood , service charge .. could go on , that I already had , get used",Neutral,0,0,2
147,9,63105565,joshhad,2017-02-08,""" , and as climate change "":",Neutral,0,0,1
148,10,279083547,thealastairw,2017-02-08,It last summer ' s flood may have another victim . The trusty might be getting written off . :-(,Negative,1,0,1
149,11,63105565,joshhad,2017-02-08,""" and erosion [ enhanced by climate change ] are ’ s most significant "":",Neutral,0,0,1
150,12,303167101,dcthorp,2017-02-08,"Wow ! I get to shoot a film about and flood defence . A really important , life - subject ! flooding Flood",Positive,0,2,2
151,13,377570338,paulking25,2017-02-08,Any in on the 24th ??? flood,Neutral,0,0,2
152,14,317686333,jostermilne,2017-02-08,"Register here for Pali ' s next free Conveyancing on Flooding , 28th at 11am property",Neutral,0,0,1
153,15,175489193,no1farmerjake,2017-02-08,Great working with today on natural flood management catchment level - easy quick cheap,Positive,0,1,0
154,16,7264292,socialtechno,2017-02-08,We ' t rich enough to buy a house on a flood plain .,Neutral,0,0,1
155,17,2503849297,olivergburke,2017-02-08,could mean a flood of US the public don ' t want .,Neutral,0,0,1
156,18,599427791,dailyhereford,2017-02-08,Flooding at Lane,Neutral,0,0,1
157,19,2498871378,greenbeltsal,2017-02-08,that folk swarm to in their = pollution runoff flooding,Negative,1,0,0
158,0,77723007,amunra1h,2021-08-11,"Noticeable the "" expert "" away . to rely on failure to record / certificate the of flood , and that a peeved curator , with 1 of his ( Time of Peace ), had no humanity for publicly .. And photo expert !!",Mixed,1,1,1
159,1,46991710,gemcowles,2021-08-11,"HIGHEST TEMP 48 . 8 ° C 2021 ️ Canada West US Finland Turkey Unprecedented China forest Taiga , / CA Emergency environment Earth",Neutral,0,0,2
160,2,305824753,rochdale_cowboy,2021-08-11,"I was talking to my 11yr old about climate change like you . He thought it was the most ridiculous concept ever . "" What about the , and melting ? They must be stupid "" he said ...",Negative,2,0,2
161,3,269821682,cmclpt,2021-08-11,"Scenario . 0300 , deluge rain , in 30 min your house will be lost to . You are by a police . "" Police , you must evacuate immediately , we will leave in 1 min ."" What will you carry with you into the cold wet darkness in night clothes ? Remember your house will go .",Negative,1,0,5
162,4,1978302632,insurepairuk,2021-08-11,"️️️️️ “ come to the rescue ! The 4th emergency service . During the recent , came to the rescue for me and my family . With a speedy initial and visit to our house . The team took control and put our mind at rest that all was in hand …",Mixed,1,4,0
163,5,87236571,eeeliiif,2021-08-11,flood ' :)),Neutral,0,0,1
164,6,1418938669,tchaieb,2021-08-11,The South of Turkey 🇹🇷 is by The North flooding pray for Turkey 🇹🇷,Neutral,0,0,1
165,7,2263949674,archiehamilton6,2021-08-11,? I know there ' s been some flooding recently but climate change must be even worse than if Loch that far away .,Negative,1,0,1
166,8,4360709415,_tornaydo_,2021-08-11,"watching the and of from when i was in hospital cos of it as a , and people pick on me because of my and how i ’ m totally by it now . growth ?",Neutral,0,0,2
167,9,588425453,barrattpeter,2021-08-11,"The picture above flood at a recently flooded town in which was as unprecedented , except it ’ t !",Negative,1,0,0
168,10,32031156,pbalfe64,2021-08-11,"oh and just remind them that its code red for the planet , , and drought all over the world but hey ho , stop them from driving 1 mile to get the newspaper so they read about being a nuisance and they get upset . thick as mince and belief",Negative,1,0,1
169,11,2866291967,sullivan55jim,2021-08-11,A lot of the flooding was because the were blocked from last falling leaves never see them getting till they flood even then all the debris is left lying waiting to be washed down the again,Negative,1,0,0
170,12,1894387916,hi_voices,2021-08-11,"My thesis , is we need these of the imagination to know ourselves , to rise above entrapment in the that the earth . So today , before faerie with tradition , I ’ speak on & ; of the 3 great .",Positive,0,1,2
171,13,1265621384304250885,stewardson_alan,2021-08-11,cracking whilst all around him is burning and flooding but will still it nothing to do with climate change .,Negative,1,0,0
172,14,1217084911041073152,keithsharpe20,2021-08-11,"Anybody who have seen the forest and across the world , and still saying it ’ s nothing to do with us , are either just plain stupid or are making a lot of money and care nothing about the planet !",Negative,1,0,0
173,15,2343081473,bruce437t,2021-08-11,", on her added deck pad , alongside . We flooded 7 , 000 into ballast to flood the dock , 4 steam turbine , rated 1 , 000t hour pump out , ballast control aft .",Neutral,0,0,2
174,16,39347912,donna_cooney1,2021-08-11,recent 2015 ' s Storm 2017 ' s flash 2018 drought & ; We should expect increasingly to see further & ; more pronounced with additional global warming . 6 key,Neutral,0,0,4
175,17,200254524,celticjohn67,2021-08-11,"Is everybody through the west coast safe , I see we ’ re from",Positive,0,1,0
176,18,870707808,dianaday44,2021-08-11,"lion Nice ️️ day here too . yep a win is a win & ; on to Sat v . 2nd half was boring at best , a 3rd might have the flood but ' t to be . Just great to be home again and normality regardless of government restriction . Great to meet old too",Mixed,1,3,2
177,19,2792589217,joeporteruk,2021-08-11,"Another agenda at last night ' s with Parish Council meeting : flooding , sport and leisure , new canal , road safety awareness , footpath maintenance , , blocked , Best Kept Village competition , and of course !",Negative,1,0,0
178,20,3343073117,sunshine_no_1,2021-08-11,I just to say a huge thank you for all the of support following the flood - I ' been so touched by each & ; every 1 . I ' m sorry I haven ' t been able to reply to them all individually - I ' been busy clearing everything out of the shop so can start ...,Mixed,1,1,1
179,21,751257312057298944,psychogreenie,2021-08-11,"Secondly , you ' been promising everyone a surprise headliner to appear at the Festival . of have been sold on the strength of this promise / tease . This surprise appearance was only in the wake of a flood of about the quality of the line - up ...",Mixed,1,1,1
180,22,17017645,petetheref,2021-08-11,"Professor is from , in the US . The US is currently dealing with a flood of Covid . Delta is much more vigorous than Alpha and are getting horribly sick . Deal with it and stop being callous .",Negative,1,0,3
181,23,1135144364,sccrowther,2021-08-11,"Flash flood left me sunk by the small print , with a £ 2 , 750 excess bill via",Negative,1,0,0
182,24,2370625320,murraysestagent,2021-08-11,"Open the sluice & ; let the happiness flood in . is a light & ; airy home by Wharf canalside . With wine bar & ; to , this 3 bed home with garden & ; parking could see you walk the tow path to a new . £ 369 , 995 . 01453 755552",Positive,0,1,8
183,0,1931252316,flood_ronan,2017-12-08,"I had a good laugh at this , unfortunately I might add",Negative,1,0,0
